producto_id,producto_nombre,categoria,precio_venta,unidades_disponibles
7256,Halston Heritage Women's Wool Pencil Drape Skirt,Skirts,295.0,1
5568,J Brand 1448 The Brix in Vintage Evergreen,Pants & Capris,268.0,1
8537,Mountain Hardwear Nitrous Down Jacket - Women's,Outerwear & Coats,230.0,1
8310,Outdoor Research Women's Aria Hoody,Outerwear & Coats,199.0,1
7839,MAXSTUDIO LINEN TWILL TAILORED JACKET,Blazers & Jackets,198.0,1
7963,MAXSTUDIO TAILORED JACKET,Blazers & Jackets,198.0,1
15208,Paige Maternity Jeans : Union Laurel Canyon - Renaissance,Maternity,194.0,1
14272,Ray-Ban Wayfarer 89476 Polarized Wayfarer SunglassesMatte Havana55 mm,Accessories,175.0,1
4224,True Religion Women's Casey Legging Jean,Jeans,172.0,1
4828,True Religion Women's Billy,Jeans,172.0,1
7294,Robert Rodriguez Women's Belted Tie Skirt,Skirts,163.9600067138672,1
3321,Suzi Chin Women's Sequin Sheath,Dresses,158.0,1
7446,BCBGMAXAZRIA Women's Albie Geometric Jacquard Skirt,Skirts,158.0,1
2891,Mountain Hardwear Women's LoDown Vest,Active,155.0,1
22512,S-t-r-e-t-c-h Corduroy Pants / Pleated Gray/Blue,Pants,149.0,1
5044,GUESS Brittney Ankle Skinny Colored Jeans with,Jeans,148.0,1
5141,Pendleton Women's True Fit Trouser,Pants & Capris,148.0,1
4784,Rich & Skinny Women's The Skinny Denim,Jeans,141.0,1
8685,Calvin Klein Women's Houndstooth,Outerwear & Coats,131.94000244140625,1
13539,Trina Turk Halter Marrakesh V Neck Colorful Swimsuit,Swim,130.0,1
3163,AK Anne Klein Women's Honeycomb Fade Short Sleeve,Dresses,129.0,1
4825,Not Your Daughter's Jeans Women's Petite Gilded Lily Print Sheri Skinny Leg Jean,Jeans,125.98999786376952,1
8437,London Fog Women's Danielle Long Down Coat,Outerwear & Coats,125.0,1
26819,Naturally By Derek Rose Men's Marlowe Lounge Pant,Sleep & Lounge,125.0,1
19274,Men's Polo by Ralph Lauren Long Sleeve Pullover Sweater Light Blue,Sweaters,125.0,1
10281,BedHead Pajamas Women's V-Neck Tee and Pant Set,Sleep & Lounge,122.0,1
6862,MiH Jeans Women's Halsy Cut-Off Short,Shorts,112.5,1
12136,Cosabella Never Say Never Foxie Chemise (NEV2701),Intimates,110.0,1
8658,Torrid Plus Size Black Hooded Pea Coat,Outerwear & Coats,108.5,1
4209,Twelfth Street by Cynthia Vincent Women's Strapless Romper,Jumpsuits & Rompers,102.86000061035156,1
23704,London Fog Men's Fremont Blend Top Coat,Outerwear & Coats,99.98999786376952,1
3133,Jessica Howard Women's Sleeveless Shirred Neck Dress,Dresses,99.98999786376952,1
1097,Eddie Bauer Heritage Cable Cardigan Sweater,Sweaters,99.94999694824217,1
11934,Cosabella Women's Never Say Never Babydoll,Intimates,98.0,1
5023,Joe's Jeans Women's Skinny Crop Knit Jean,Jeans,95.04000091552734,1
3495,aryn K Women's Long Sleeve Lace Mini Dress,Dresses,95.0,1
13175,Betsey Johnson Beauty Mark Halter Bra Top,Swim,92.0,1
4604,Silver Jeans Juniors Tuesday Bootcut Jean,Jeans,90.0,1
10717,Hanky Panky Original Signature Lace Thong 5-Pack Panty,Intimates,89.94999694824217,1
9817,The Cat's Pajamas Pink Treetop Cats Women's Cotton Flannel Pajama,Sleep & Lounge,88.0,1
7150,Calvin Klein Women's Sequin Maxi Skirt,Skirts,86.98999786376953,1
13543,Vitamin A Teal Banded Hipster Bottom,Swim,86.0,1
6576,7 For All Mankind Women's Carlie Short in Laser Ikat Denim,Shorts,84.0,1
12825,Reebok Women's Elite Ombre Tank,Swim,83.62000274658203,1
19201,J.C. Rags Men's High Collar Sweat,Sweaters,81.2699966430664,1
9837,Midnight by Carole Hochman Women's Hopelessly In Love Robe,Sleep & Lounge,80.0,1
14833,A Pea in the Pod: 3/4 Sleeve Scoop Neck Shirring Detail Nursing Pajama Set,Maternity,79.5,1
5029,Liverpool Jeans Company Women's Sadie Straight,Jeans,79.0,1
28141,Zanerobe Men's Hobie Printed Short,Swim,79.0,1
18613,Tri-Mountain Men's Realtree Pattern Camouflage Sweatshirt. 689C,Active,78.98999786376953,1
2418,Pink Lotus Women's Paramount Flare,Active,78.0,1
21516,Dylan George Signature Boot Cut,Jeans,75.0,1
10201,Microfiber Bathrobe with a Shawl Collar - Unisex By Boca Terry,Sleep & Lounge,71.0,1
14399,Belly Bandit post pregnancy tummy wrap belly band original Nude,Maternity,69.94999694824219,1
6367,Propper Multicam BDU Shorts F526138377,Shorts,69.94999694824219,1
12124,David's Bridal Satin Torsolette Style 8950,Intimates,69.0,1
3052,Shock Absorber Women's Padded Pump Sport Bra,Active,69.0,1
5022,Mavi Women's Molly Straight Leg Rinse Parker Jean,Jeans,68.98999786376953,1
3543,Moonar Chiffon Sweetheart A Line Prom Formal Gown Party Bridesmaid Wedding Dress,Dresses,68.12999725341797,1
8195,ICE (6235) smart tailored trouser suit dark grey sizes 10-20,Suits,66.98999786376953,1
6619,Merrell Women's Zealia Shorts,Shorts,66.05000305175781,1
7063,Merrell Women's Lidia Roll Up Shorts,Shorts,66.05000305175781,1
16434,Nike Golf Men's Double Stripe Polo,Tops & Tees,65.0,1
11997,Arianne Women's Catherine Teddy Underwire,Intimates,65.0,1
21883,Volcom Men's Premium Chino Pant,Pants,65.0,1
15080,Impact Fitness - Maternity Momentum Capri Fitted Under Belly Activewear / Yoga / Workout Crop,Maternity,62.0,1
4308,Carhartt Women's Relaxed Fit Flannel Lined Straight Leg Jean Jean,Jeans,60.27000045776367,1
17101,Arrow Men's Partial-Button Sueded Fleece Heather,Fashion Hoodies & Sweatshirts,60.0,1
8356,Columbia Women's Switchback Rain Jacket,Outerwear & Coats,60.0,1
20950,DC Men's DC Relaxed Denim Pant,Jeans,59.5,1
14347,Glamourmom Nursing Bra Full Bust Long Top,Maternity,59.0,1
3359,Ever Pretty Women's Charm Strapless Polka Mini Dress,Dresses,59.0,1
14542,Anita Womens Cherry Blush Nursing Bra,Maternity,58.0,1
13077,TYR Sport Women's Universe Diamondback Swim Suit,Swim,56.0,1
473,Three Dots Red Women's Fit Long Sleeve Crewneck,Tops & Tees,55.0,1
26381,Emporio Armani Stretch Cotton Crew T-Shirt 2-Pack,Underwear,54.0,1
4279,Levi's 512 Misses Perfectly Slimming Boot Cut Jean with Tummy Slimming Panel,Jeans,54.0,1
27999,Rip Curl Men's Mirage Tangent Short,Swim,52.200000762939446,1
15449,Glamorise Women's Adjustable Bounce Control Sports Bra,Plus,51.9900016784668,1
3660,AGB Women's Short Sleeve Cowl Necked Sweater Dress,Dresses,50.38999938964844,1
13163,Energy: Ring Baby Doll Swimsuit Top,Swim,50.0,1
2004,Kensie Women's Bonded Jersey Jacket,Fashion Hoodies & Sweatshirts,49.0,1
11955,Jezebel Women's Desire Bustier,Intimates,49.0,1
19282,Banana Republic Men's Crew Neck Long Sleeve Thermal Striped Sweater Gray,Sweaters,48.959999084472656,1
21379,Wrangler Men's Premium Performance Cowboy Cut Jean,Jeans,47.9900016784668,1
14572,Elila Cotton Wire Free Nursing Bra,Maternity,47.0,1
3372,Lindy Bop 'Bonnie' Black Polka Dot Vintage 1950'S Rockabilly Pinup Halter Party Swing Dress,Dresses,46.9900016784668,1
27130,Majestic International Men's Shawl Robe,Sleep & Lounge,46.7599983215332,1
2771,Nike Golf Women's New Nike Tech Pique Polo,Active,45.0,1
2464,Columbia Women's Glacial Fleece Iii 1/2 Zip Jacket,Active,45.0,1
12810,Mw Long Ruffle Tankini Bikini Swimsuit Bra Straps Multiple Prints,Swim,44.9900016784668,1
10400,Vanity Fair Women's Beautiful Benefits Full FIgure Contour Back Smoother Bra #76830,Intimates,44.9900016784668,1
3226,Suzi Chin Women's Faux Wrap Dress,Dresses,44.970001220703125,1
2183,Volcom Moclov Stoner Full-Zip Hoodie - Women's,Fashion Hoodies & Sweatshirts,44.950000762939446,1
19182,Ed Garments Men's V-Neck Jersey Stitch Sweater Vest. 791,Sweaters,43.9900016784668,1
4705,Calvin Klein Jeans Women's Petite Powerstretch Straight Leg Jean,Jeans,43.790000915527344,1
4291,Levi Women's Plus Size Stretch Denim,Jeans,42.9900016784668,1
21385,Grand River Relaxed Fit Big & Tall Mens Stonewashed Jeans,Jeans,42.97999954223633,1
10013,Soft Ones Women's 11160 Robe,Sleep & Lounge,41.950000762939446,1
6571,TEXTILE Elizabeth and James Women's Studded Ruby Short,Shorts,41.290000915527344,1
23529,Ocean Current Men's Plaid Print Pant,Shorts,40.0,1
9641,Nautica Sleepwear Women's Baby Fleece Dot Pant,Sleep & Lounge,40.0,1
4275,Levi's 524 Juniors' Too Superlow Bootcut Jean,Jeans,39.9900016784668,1
12686,Nubra Seamless Super Light Adhesive Bra D Cup Black,Intimates,39.9900016784668,1
11282,Miraclesuit Real SmoothÂ® Step-In Waist Cincher Model #2742,Intimates,39.0,1
15336,Bali Women's Passion For Comfort Minimizer With Comfort Back,Plus,38.52000045776367,1
13903,Collection XIIX Women's Reflections Floral Scarf,Accessories,38.0,1
2854,Champion Women's The Smoothie,Active,38.0,1
18944,Nautica Men's V-Neck Allover Stripe Sweater,Sweaters,37.7400016784668,1
19942,Haggar Men's Shadow Stripe Plain Front Suit Separate Pant,Suits & Sport Coats,37.720001220703125,1
7226,MicroFiber Knit Skirt,Skirts,37.4900016784668,1
1175,Black Bolero Shrug Tops with Long Sleeves SC31003,Sweaters,36.9900016784668,1
2240,I Heart Irish Dance Clover Hoodie,Fashion Hoodies & Sweatshirts,36.9900016784668,1
14818,Motherhood Maternity: Plus Size Mid Belly Bi-stretch Suiting Maternity Pants,Maternity,36.97999954223633,1
964,ROMEO & JULIET COUTURE Ridge Knit Turtleneck Sweater [RJ26505],Sweaters,36.950000762939446,1
12487,Laura High Quality Seamless Bra Bikini SET #SL101067 Made in Colombia,Intimates,36.950000762939446,1
10674,Barely There Women's We Have Your Back Wirefree Lift,Intimates,35.0,1
10438,Wonderbra Women's No Surgery Add A Size,Intimates,35.0,1
3356,Long Sleeve Turtle Neck Warm Winter Casual Maxi Ribbed Sweater Dress S M L,Dresses,34.9900016784668,1
23531,Dockers Big Mens Flat Front Short,Shorts,34.880001068115234,1
